名次,馬號,馬名,騎師,練馬師,排位體重,實際負磅,檔位,頭馬距離,沿途走位,完成時間,獨嬴賠率,horse_info_url,日期,場次,horse_id
10,3,龍之心 ,何澤堯,呂健威,1225,128.0,6,5-3/4,4 4 1 0,1:10.51,6.5,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G469,12/02/2023,4,G469
11,8,滿載歸來 ,周俊樂,容天鵬,1187,123.0,7,6,1 0 9 1 1,1:10.57,97.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H083,12/02/2023,4,H083
12,6,辣得駕勢 ,班德禮,伍鵬志,1060,128.0,11,7-1/2,1 1 1 1 1 2,1:10.80,85.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G203,12/02/2023,4,G203
1,8,摘星光輝 ,鍾易禮,鄭俊偉,1050,121.0,10,-,2 3 4 1,1:35.86,11.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2020_E316,12/02/2023,2,E316
 2,7,其利斷金 ,田泰安,葉楚航,1162,131.0,2,頸位,6 6 6 2,1:35.92,16.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2017_B426,12/02/2023,2,B426
3,10,福祐 ,蔡明紹,高伯新,1239,123.0,1,1/2,4 4 3 3,1:35.93,7.2,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G005,12/02/2023,2,G005
4,3,爸巴閉 ,周俊樂,徐雨石,1108,132.0,12,2,1 4 1 4 1 1 4,1:36.16,35.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2019_D235,12/02/2023,2,D235
5,14,仲得威 ,班德禮,容天鵬,1059,118.0,11,2-1/4,3 2 2 5,1:36.24,16.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2020_E079,12/02/2023,2,E079
6,6,新威煌 ,梁家俊,黎昭昇,1231,132.0,6,2-1/2,1 1 1 6,1:36.25,9.4,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2020_E095,12/02/2023,2,E095
7,1,元朗之星 ,布文,文家良,1159,135.0,5,3-1/2,5 5 5 7,1:36.44,2.9,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2018_C303,12/02/2023,2,C303
8,2,威力飛馳 ,潘頓,賀賢,1209,134.0,8,3-3/4,1 0 9 1 0 8,1:36.47,5.7,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2019_D423,12/02/2023,2,D423
9,11,鑽兩鑽 ,霍宏聲,姚本輝,1087,122.0,4,4,9 1 0 9 9,1:36.51,37.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G041,12/02/2023,2,G041
10,13,開心大師 ,賀銘年,蘇偉賢,1099,118.0,14,4-3/4,1 3 1 3 1 2 1 0,1:36.61,18.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2017_B222,12/02/2023,2,B222
11,12,揚威四方 ,楊明綸,何良,1072,119.0,13,5-1/2,1 2 1 1 1 3 1 1,1:36.73,78.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G026,12/02/2023,2,G026
12,5,日日靚 ,何澤堯,方嘉柏,1158,132.0,9,6-3/4,1 1 1 2 1 4 1 2,1:36.95,12.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2019_D070,12/02/2023,2,D070
13,9,天使獵人 ,波健士,文家良,1100,130.0,3,9,7 7 7 1 3,1:37.30,33.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G193,12/02/2023,2,G193
14,4,極速俠 ,潘明輝,丁冠豪,1058,130.0,7,11,8 8 8 1 4,1:37.61,61.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G091,12/02/2023,2,G091
1,5,永遠美麗 ,潘頓,蔡約翰,1192,129.0,1,-,1 3 3 1,1:21.55,1.3,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_H008,12/02/2023,1,H008
2,7,銀亮之風 ,何澤堯,方嘉柏,1038,126.0,6,1-3/4,1 0 7 5 2,1:21.83,40.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G154,12/02/2023,1,G154
 3,13,皇帝金 ,楊明綸,大衛希斯,1079,117.0,10,2-1/4,1 2 1 0 6 3,1:21.92,88.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2020_E077,12/02/2023,1,E077
4,2,敏捷神駒 ,田泰安,黎昭昇,1099,133.0,13,2-1/2,1 3 1 3 1 2 4,1:21.94,63.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H210,12/02/2023,1,H210
5,8,潮州精神 ,布文,容天鵬,1224,125.0,8,2-3/4,9 1 1 1 1 5,1:21.97,12.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H175,12/02/2023,1,H175
6,11,將俠 ,霍宏聲,告東尼,1145,121.0,7,3-3/4,2 1 1 6,1:22.17,26.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2019_D501,12/02/2023,1,D501
7,3,紅愛舍 ,蔡明紹,文家良,1160,133.0,14,4-1/4,1 4 1 4 1 3 7,1:22.21,117.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H110,12/02/2023,1,H110
8,9,綠茵神駒 ,班德禮,苗禮德,1108,124.0,3,4-1/2,7 5 4 8,1:22.28,22.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2020_E406,12/02/2023,1,E406
9,1,彩虹千里 ,梁家俊,羅富全,1049,135.0,12,4-3/4,3 2 2 9,1:22.29,9.3,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H124,12/02/2023,1,H124
